tweet_id,username,text,tweet_date,hashtag,tweet_url,search_term,lat,long,region
1249154623581102080,J. Bussjaeger,That is Covid 69,2020-04-12 01:57:25,[],https://twitter.com/Pinche_Gringos/status/1249154623581102080,COVID,39.7285,-121.8375,CHICO
1249154623581102080,J. Bussjaeger,That is Covid 69,2020-04-12 01:57:25,[],https://twitter.com/Pinche_Gringos/status/1249154623581102080,COVID,39.7285,-121.8375,CHICO
1246977940711026689,chris,Everyone sleeps on DeBart water but let me ask this. Has a single DeBart water drinker been infected by Covid-19? I didn’t think so https://twitter.com/ndchicks/status/1246865673374089216 …,2020-04-06 01:48:03,[],https://twitter.com/ChrisG375/status/1246977940711026689,COVID,39.7285,-121.8375,CHICO
1246977940711026689,chris,Everyone sleeps on DeBart water but let me ask this. Has a single DeBart water drinker been infected by Covid-19? I didn’t think so https://twitter.com/ndchicks/status/1246865673374089216 …,2020-04-06 01:48:03,[],https://twitter.com/ChrisG375/status/1246977940711026689,COVID,39.7285,-121.8375,CHICO
1249088305553182722,BBRatch,Only good thing about COVID 19 gas prices are 2.19,2020-04-11 21:33:53,[],https://twitter.com/_Rachel_Emma/status/1249088305553182722,COVID,39.7285,-121.8375,CHICO
1249081800049086464,Chico Police Dept.,Information on Butte County COVID 19 statistics. @BC_PubHealthhttps://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek …,2020-04-11 21:08:02,[],https://twitter.com/ChicoPolice/status/1249081800049086464,COVID,39.7285,-121.8375,CHICO
1248816990099292161,_xoana.t,Ik its temporary but Fuck ! losing a job because of covid & applying everywhere to get a job & when I finally get a new job & i start to feel like finally have something under control again but then some other shit has to happen  Dios dame fuersas,2020-04-11 03:35:46,[],https://twitter.com/yoyotorres2/status/1248816990099292161,COVID,39.7285,-121.8375,CHICO
1249088305553182722,BBRatch,Only good thing about COVID 19 gas prices are 2.19,2020-04-11 21:33:53,[],https://twitter.com/_Rachel_Emma/status/1249088305553182722,COVID,39.7285,-121.8375,CHICO
1249081800049086464,Chico Police Dept.,Information on Butte County COVID 19 statistics. @BC_PubHealthhttps://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek …,2020-04-11 21:08:02,[],https://twitter.com/ChicoPolice/status/1249081800049086464,COVID,39.7285,-121.8375,CHICO
1248816990099292161,_xoana.t,Ik its temporary but Fuck ! losing a job because of covid & applying everywhere to get a job & when I finally get a new job & i start to feel like finally have something under control again but then some other shit has to happen  Dios dame fuersas,2020-04-11 03:35:46,[],https://twitter.com/yoyotorres2/status/1248816990099292161,COVID,39.7285,-121.8375,CHICO
1246224086985916417,"Harry Lomas IV, MD",Had to share. #medtwitter #COVID #Covid_19https://twitter.com/crazylil_monkey/status/1245876115970740224 …,2020-04-03 23:52:30,"['medtwitter', 'COVID', 'Covid_19https']",https://twitter.com/HLomas4/status/1246224086985916417,COVID,39.7285,-121.8375,CHICO
1246224086985916417,"Harry Lomas IV, MD",Had to share. #medtwitter #COVID #Covid_19https://twitter.com/crazylil_monkey/status/1245876115970740224 …,2020-04-03 23:52:30,"['medtwitter', 'COVID', 'Covid_19https']",https://twitter.com/HLomas4/status/1246224086985916417,COVID,39.7285,-121.8375,CHICO
1248118893622652928,J. Bussjaeger,Hospitals here get full reimbursement for covid care so it makes sense to fudge the numbers from a financial perspective,2020-04-09 05:21:47,[],https://twitter.com/Pinche_Gringos/status/1248118893622652928,COVID,39.7285,-121.8375,CHICO
1248116727923105793,J. Bussjaeger,"It is actually normal though... 

“This has been known from the beginning. So those individuals will have an underlying condition, but that underlying condition did not cause their acute death when it is related to a COVID infection”

This is normal with all major illnesses",2020-04-09 05:13:11,[],https://twitter.com/Pinche_Gringos/status/1248116727923105793,COVID,39.7285,-121.8375,CHICO
1248118893622652928,J. Bussjaeger,Hospitals here get full reimbursement for covid care so it makes sense to fudge the numbers from a financial perspective,2020-04-09 05:21:47,[],https://twitter.com/Pinche_Gringos/status/1248118893622652928,COVID,39.7285,-121.8375,CHICO
1248116727923105793,J. Bussjaeger,"It is actually normal though... 

“This has been known from the beginning. So those individuals will have an underlying condition, but that underlying condition did not cause their acute death when it is related to a COVID infection”

This is normal with all major illnesses",2020-04-09 05:13:11,[],https://twitter.com/Pinche_Gringos/status/1248116727923105793,COVID,39.7285,-121.8375,CHICO
1245412906834882560,THEJROSHOW,What if COVID-19 was like PSYCHE APRIL FOOLS YALL!!! That’d be cool.,2020-04-01 18:09:10,[],https://twitter.com/FLiPSiDE_RADiO/status/1245412906834882560,COVID,39.7285,-121.8375,CHICO
1245408591479058432,Mandi,"I bought concert tickets before covid-19 put us all on quarantine and now the whole tour is postponed and they’re not offering refunds because the website clearly said “all sales are final”   
I’m SoRrY wHaT",2020-04-01 17:52:01,[],https://twitter.com/ibreathestarzz/status/1245408591479058432,COVID,39.7285,-121.8375,CHICO
1245405332836241408,"Harry Lomas IV, MD",COVID-19: Attacks the 1-Beta Chain of Hemoglobin and Captures the Porphyrin to Inhibit Human Heme Metabolism https://doi.org/10.26434/chemrxiv.11938173.v5 … via @figshare #COVID19 #medtwitter,2020-04-01 17:39:04,"['COVID19', 'medtwitter']",https://twitter.com/HLomas4/status/1245405332836241408,COVID,39.7285,-121.8375,CHICO
1245155386321068032,Whaley Good Student,Good spirits and love to @ChrisCuomo . I'm very very sorry to hear you have COVID-19.,2020-04-01 01:05:52,[],https://twitter.com/anthro_andrew/status/1245155386321068032,COVID,39.7285,-121.8375,CHICO
