tweet_id,username,text,tweet_date,tweet_url,search_term
1237528215406534656,Arundhati Lokare,Liberandus are already fighting with their response- calling it maybe COVID and not wuhan virus bcoz its ‘racist ‘( According to them!) https://twitter.com/db_is_db/status/1237418446624718848 …,2020-03-10 23:58:13,https://twitter.com/aruaugust/status/1237528215406534656,COVID
1237527662941179904,R. Scott Love,@chipfranklin think of this COVID-19 epidemic as a five year bio-war with victories and defeats; globalization is changing before our eyes; some countries like SK and Germany are faring better than we are; how will we adapt over the next 20 months until vaccines arrive?,2020-03-10 23:56:01,https://twitter.com/TheScottLove/status/1237527662941179904,COVID
1237525870262095874,Jay D Neunsinger,The Grand Princess (aka the COVID-19 cruise ship) pic.twitter.com/xSQXx73cSg,2020-03-10 23:48:54,https://twitter.com/jay9singer/status/1237525870262095874,COVID
1237523193151115264,Dr. Zoidberg,“I think what we’re seeing with Covid-19 is what influenza would look like without a vaccine.”  Nicely put.  https://twitter.com/WSJ/status/1237509809928208384 …,2020-03-10 23:38:15,https://twitter.com/psuvafan007/status/1237523193151115264,COVID
1237519999448649728,AUDIO1🍥,I love the idea of a roundtable.  Everything can be discussed from how Covid-19 will affect nightlife to what is expected from DJs in 2020.,2020-03-10 23:25:34,https://twitter.com/djaudio1/status/1237519999448649728,COVID
1237517745702359041,Jonathan T Akkawi,This Coachella postponement better not affect ACL lineup but this was the smartest decision on Goldenvoice’s part in regards to the COVID-19 pandemic https://twitter.com/coachella/status/1237514789762416640 …,2020-03-10 23:16:37,https://twitter.com/TheJakkawiArab/status/1237517745702359041,COVID
1237516021549809664,Oakland Symphony,"Regarding COVID-19: We are monitoring the situation closely. If public events are impacted, the Oakland Symphony will act accordingly. Health and safety of our patrons is of primary importance. For now, the music will continue.
For more info, visit https://www.oaklandsymphony.org/faq-coronavirus/ …",2020-03-10 23:09:46,https://twitter.com/OakSym/status/1237516021549809664,COVID
1237515994161012736,Major E. Julian,"Umm, I’m feeling a little attacked

#coronavirus #covid_19 #washyourhands @ San Francisco, California https://www.instagram.com/p/B9ki-dRD_Cd/?igshid=1k3qlnfo5507y …",2020-03-10 23:09:39,https://twitter.com/majorejulian/status/1237515994161012736,COVID
1237512415874412544,Jessica Brown,This is the floating Covid 19 Petrie dish right off the coast of Oakland. Cool. https://twitter.com/OGpenn/status/1237431191986298880 …,2020-03-10 22:55:26,https://twitter.com/J_Br0/status/1237512415874412544,COVID
1237511802004463616,Tatyana Kanzaveli,"Feel like I won a lottery  
Scored 
Hand sanitizer 
#Covid preparedness",2020-03-10 22:53:00,https://twitter.com/glfceo/status/1237511802004463616,COVID
1237511278328832001,Esme Skye Velasquez​,"Our girls weekend getaway to Reno for the Prince Royce concert and a food festival got cancelled due to what's going on with Covid-19 
I was totally looking forward for the 1st time leaving Kiki & Joey home alone for a whole weekend.
Oh well maybe in two years from now. ",2020-03-10 22:50:55,https://twitter.com/Saffronian_ES/status/1237511278328832001,COVID
1237509737966522368,Louis Smaldino,"Your statement that these players missing media events hurts growth, and I was pointing out that it would be worse if they were quarantined by Covid-19 then missing a media event. https://twitter.com/kbaxter11/status/1237170887993864194 …",2020-03-10 22:44:48,https://twitter.com/Ldino21/status/1237509737966522368,COVID
