tweet_id,username,text,tweet_date,tweet_url,search_term,lat,long,region
1254196781547585536,Kirsten Bibbins-Domingo,Mission residents gather for free COVID-19 testing — a scene that will likely become more common  https://missionlocal.org/2020/04/mission-residents-gather-for-free-covid-19-testing-a-scene-that-will-likely-become-more-common/ …,2020-04-25 23:53:09,https://twitter.com/KBibbinsDomingo/status/1254196781547585536,COVID,37.7749,-122.194,SF
1254191785280077824,Sarbjeet Johal (#TheVillager),"Data collection during #Covid_19 crisis. Interesting labeling by Bloomberg! Great read! 

@BillMew @evankirstel @rwang0 @hyounpark @matteastwood @MarshaCollier @digitalcloudgal @MarshaCollier @sallyeaves @NeilCattermull @TmanSpeaks @StevenDickens3 @JoannMoretti @ipfconline1 @stu https://twitter.com/bopinion/status/1254019911715827714 …pic.twitter.com/LnEnXR4EIH",2020-04-25 23:33:18,https://twitter.com/sarbjeetjohal/status/1254191785280077824,COVID,37.7749,-122.194,SF
1254191534997508097,David Spiciarich,A corona in the time of covid. Happy Saturday y’all. pic.twitter.com/tTrPOlPMdy,2020-04-25 23:32:18,https://twitter.com/spiciarich/status/1254191534997508097,COVID,37.7749,-122.194,SF
1254191476583497729,Jeffrey Tumlin,"Why did it take COVID for me to discover the glory of local, freshly frozen, take-out dumplings? https://sf.eater.com/maps/frozen-dumplings-takeout-sf-east-bay …pic.twitter.com/NTj3e9XUVV – at Yummy Dumpling",2020-04-25 23:32:04,https://twitter.com/jeffreytumlin/status/1254191476583497729,COVID,37.7749,-122.194,SF
1254191268608962560,auraloptic,￼Is it reasonable to suggest ￼that Dr. Trump was talking about this? https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4783265/ … #Covid_19 #injectdisenfectant,2020-04-25 23:31:14,https://twitter.com/auraloptic/status/1254191268608962560,COVID,37.7749,-122.194,SF
1254188519603310593,Ann Tirrell-Creating my own destiny,Yes I wonder how Russia is doing with #Covid_19 ?,2020-04-25 23:20:19,https://twitter.com/anntirrell/status/1254188519603310593,COVID,37.7749,-122.194,SF
1254188091159375872,ceo of blooms 🌸,y'all gotta stop thirst trapping on ig. not even fair in covid times wth,2020-04-25 23:18:37,https://twitter.com/yungcontent/status/1254188091159375872,COVID,37.7749,-122.194,SF
1254184323097546753,Rambling Hippo,"A sign of the times...

@timbuk2 #masks #covid_19 #sanfrancisco #california @ Timbuk2 https://www.instagram.com/p/B_a-3DaFX2Y/?igshid=srrs48xy3cmj …",2020-04-25 23:03:38,https://twitter.com/ramblinghippo/status/1254184323097546753,COVID,37.7749,-122.194,SF
1254176934973501440,Bruce Hallman,"Yes, in general terms, poverty means higher risk of poor diet (diabetes), crowded housing, air quality (asthma), all are risk factors for COVID dire outcomes.",2020-04-25 22:34:17,https://twitter.com/BruceHallman/status/1254176934973501440,COVID,37.7749,-122.194,SF
1254173600946384896,Rahul Sharma,structural cases are considered “high risk” for potential exposure due to actual/potential need for intubation/TEE (depending on procedure).Coronary cases considered high risk (e.g STEMI) are treated in a similar way. Dedicated COVID lab for + cases. PPE for all of the above.,2020-04-25 22:21:02,https://twitter.com/drrahulpsharma/status/1254173600946384896,COVID,37.7749,-122.194,SF
1254172477556764678,EGO,"Man what in the COVID COMBAT is this shit? Sanitizing the fighter between rounds? Looks like he’s spraying pesticides  this is gonna take some getting used to for me lol #COVIDcombat #EGO @ Fairfield, California https://www.instagram.com/p/B_a5eF0FmsK/?igshid=1k2tpmwg4qqq1 …",2020-04-25 22:16:34,https://twitter.com/BoxingEGO/status/1254172477556764678,COVID,37.7749,-122.194,SF
1254171106476535809,William Justo,"My delicious pesto chicken pizza (and salad) from Blue Line Pizza.  My work was providing free lunch every Wednesday or so (at least until this COVID-19 blows over).  This was at Syc02 (Cisco warehouse) in Milpitas,… https://www.instagram.com/p/B_a42TPJC4n/?igshid=14gb5a9z0uwxw …",2020-04-25 22:11:07,https://twitter.com/54stormywill54/status/1254171106476535809,COVID,37.7749,-122.194,SF
1254170730956087296,Lafayette Surfer,They aren’t supposed to be WHITE HOUSE news conferences ass munch. They really for covid 19 updates. Dick. @realDonaldTrumphttps://twitter.com/realDonaldTrump/status/1254168730898173953 …,2020-04-25 22:09:38,https://twitter.com/LafayetteSurfer/status/1254170730956087296,COVID,37.7749,-122.194,SF
1254168296833736704,Tim Lohrentz,Is Covid 19 proof that there are no aliens out there waiting to help Earth and no time travelers coming back from the future?,2020-04-25 21:59:57,https://twitter.com/timlohrentz/status/1254168296833736704,COVID,37.7749,-122.194,SF
1254167167290847232,PerlitaR,We need to protect the most vulnerable in nursing homes and skilled nursing facilities @GavinNewsom @KamalaHarris @SupCindyChavez @ZoeLofgren @DaveCortese The growing # of COVID-19 cases is terrifying! https://twitter.com/newsdamian/status/1252807823538286593 …,2020-04-25 21:55:28,https://twitter.com/perlitar1/status/1254167167290847232,COVID,37.7749,-122.194,SF
1254166208468758529,Sarbjeet Johal (#TheVillager),"Finally another dose of useful #COVID19 data! 

According to Centers for Disease Control and Prevention data, as of April 18 US death rate from COVID:

- 0.8% among people ages 25 to 34
- 2% among those 35 to 44
- 5.4% among those 45 to 54

@rwang0https://twitter.com/mthiele10/status/1254138263029366785 …",2020-04-25 21:51:40,https://twitter.com/sarbjeetjohal/status/1254166208468758529,COVID,37.7749,-122.194,SF
