tweet_id,username,text,tweet_date,tweet_url,search_term
1253471046092517376,Leo Sosa,Stay Tuned for our Second Video Update from @devmissionorg during our Covid-19 Emergency Funds Efforrts to support our Members and their Families! pic.twitter.com/wEA9f3CGtP,2020-04-23 23:49:20,https://twitter.com/leonardoysosa/status/1253471046092517376,COVID
1253469898413506561,Jeanne Bell,"@jleewagner of @commonfutureco had so many great ideas for equitable HR on our @npquarterly webinar today. An inspiration for creative, responsive ways to support our diverse staffs in Covid and well beyond. She also cited great resources from http://www.managementcenter.org/about-us/ ",2020-04-23 23:44:46,https://twitter.com/JeanneBellNP/status/1253469898413506561,COVID
1253469686500450304,AnneChing9,He just told us to inject disinfectant to kill covid- 19. Is this not enough to remove him? #25thAmendment,2020-04-23 23:43:56,https://twitter.com/AnneChing9/status/1253469686500450304,COVID
1253468964723687424,Joewand Murphy,Some synthetic ass shit! Covid must be Deep Cover. And has David saving up to make his own.,2020-04-23 23:41:04,https://twitter.com/last1muggin/status/1253468964723687424,COVID
1253468524644724738,Joewand Murphy,Covid bet not have use to been cocaine ,2020-04-23 23:39:19,https://twitter.com/last1muggin/status/1253468524644724738,COVID
1253468378619994113,Joewand Murphy,How is covid on my hands and up my nose?,2020-04-23 23:38:44,https://twitter.com/last1muggin/status/1253468378619994113,COVID
1253468156355477505,John Ferrannini,".@horizonsfdn grants are being provided by its COVID-19 Response Emergency Fund. The fund was started last month, and the $440,000 in grants announced Thursday was described as the ""first round"" in a news release. https://www.ebar.com/news/latest_news//291276/online_extra:_horizons_gives_over_$400k_to_53_lgbt_groups_amid_covid-19_financial_stress …",2020-04-23 23:37:51,https://twitter.com/jferrnews/status/1253468156355477505,COVID
1253467856089448449,(((Cin Irwin))),"Whoa! 
 Two pet cats in New York test positive for COVID-19  https://twitter.com/i/events/1253040308482277376 …",2020-04-23 23:36:39,https://twitter.com/Photomom11/status/1253467856089448449,COVID
1253467550752501760,Cole Wagoner,No wonder that dude in Bakersfield never got COVID,2020-04-23 23:35:27,https://twitter.com/colewagoner/status/1253467550752501760,COVID
1253466551824510976,Nombe,"Don’t think I’m ready, even though it’s been over 5 years since the brick&mortar @Nombe closed. Even though we live on despite Covid-19 (ramen bento delivery service starting next Wednesday), I went out back and cried for 10 minutes the night we closed. I feel her pain.",2020-04-23 23:31:28,https://twitter.com/Nombe/status/1253466551824510976,COVID
1253465601483235328,Damien Sorresso,"COVID-19 really is shining a harsh light on American culture and government. Our dysfunctional government, anti-intellectual society, terrible healthcare system, access-obsessed media, and now our culture of obesity. Everything is just on display. 

https://www.nytimes.com/2020/04/23/health/coronavirus-patients-risk.html …",2020-04-23 23:27:42,https://twitter.com/EBADTWEET/status/1253465601483235328,COVID
1253465371790598144,Jeff Meyers,"This is how little #Trump and his crooks think of your lives. Even if you're a #maga fan, they'd gladly toss your body and your kids into the pit to get more money.
#TrumpOwnsEveryDeath
#GOPGenocide
#Covid_19https://www.vanityfair.com/news/2020/04/brian-harrison-dog-breeder-coronavirus …",2020-04-23 23:26:47,https://twitter.com/jephM/status/1253465371790598144,COVID
